Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.040287,0.10749,0.44881,0,0,0,21.377,0.40243,0.009306,-2.5598E-16,0.72467,-1.1425E-17,0.46291,0,0,0,0,0,0,package://Bot.SLDASM/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Bot.SLDASM/meshes/base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
Front_Right_Wheel,2.77555756156289E-17,-9.34579439252348E-05,-0.0889485981308411,0,0,0,0.84037603483527,0.00217887082225876,3.25260651745651E-19,1.20331618069314E-19,0.0021828051532455,-1.0643246139499E-06,0.00392933967130769,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Front_Right_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Front_Right_Wheel.STL,,Wheel-4,,,FRWB,continuous,0.16887,-0.57881,0.014041,1.5708,0.39309,-3.1416,base_link,0,0,1,,,,,,,,,,,,0
Rear_Right_Wheel,-1.38777878078145E-17,-9.34579439252417E-05,-0.0889485981308411,0,0,0,0.84037603483527,0.00217887082225876,2.71050543121376E-19,-1.45583787809333E-20,0.0021828051532455,-1.0643246139499E-06,0.00392933967130769,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Rear_Right_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Rear_Right_Wheel.STL,,Wheel-3,,,RRWB,continuous,-0.081132,-0.57881,0.014041,1.5708,0.39309,-3.1416,base_link,0,0,1,,,,,,,,,,,,0
Front_Left_Wheel,-2.77555756156289E-17,-9.3457943925233E-05,0.0160514018691588,0,0,0,0.84037603483527,0.00217887082225876,-5.46400014834222E-21,-9.65092308661474E-20,0.0021828051532455,-1.06432461394982E-06,0.00392933967130768,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Front_Left_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Front_Left_Wheel.STL,,Wheel-2,,,FLWB,continuous,0.16887,-0.21381,0.014041,1.5708,0,0,base_link,0,0,-1,,,,,,,,,,,,0
Rear_Left_Wheel,0,-9.3457943925233E-05,0.0160514018691589,0,0,0,0.840376034835269,0.00217887082225876,-6.20092364511184E-21,1.77625195682276E-19,0.0021828051532455,-1.06432461394982E-06,0.00392933967130768,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Rear_Left_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Rear_Left_Wheel.STL,,Wheel-1,,,RLWB,continuous,-0.081132,-0.21381,0.014041,1.5708,0,0,base_link,0,0,-1,,,,,,,,,,,,0
Front_Camera,0.015,-1.38777878078145E-17,-5.55111512312578E-17,0,0,0,0.0750000000000001,3.12500000000001E-05,-3.52930394689292E-22,1.05879118406788E-21,2.12500000000001E-05,8.25574779257184E-22,2.125E-05,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Front_Camera.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Front_Camera.STL,,Camera-1,,,FC,fixed,0.26887,-0.44881,0.11404,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,0
Left_Camera,0.015,2.77555756156289E-17,-6.93889390390723E-18,0,0,0,0.075,3.125E-05,3.50571244610926E-37,7.05860789378561E-23,2.125E-05,-1.89622442458663E-21,2.125E-05,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Left_Camera.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Left_Camera.STL,,Camera-3,Origin_LC,Axis_LC,LC,fixed,0.0438682665747928,-0.21880719504586,0.164041014005108,-1.5707963267949,0,-1.5707963267949,base_link,0,0,0,,,,,,,,,,,,0
Right_Camera,0.015,0,6.93889390390723E-18,0,0,0,0.075,3.125E-05,-5.15560720562118E-22,3.61422899918658E-38,2.125E-05,-1.46706106464445E-21,2.125E-05,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Right_Camera.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Right_Camera.STL,,Camera-2,Origin_RC,Axis_RC,RC,fixed,0.0438682665747929,-0.678807195045861,0.164041014005108,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,0
Extension_1,0.18697648033194,0,-5.55111512312578E-17,0,0,0,0.154530964914874,1.26553093477052E-05,-1.0173103246227E-20,9.47397590128893E-21,0.00272125728868608,9.76324056323183E-23,0.00272078604978804,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Extension_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Extension_1.STL,,Extension Pole 1-1,,,E1,prismatic,0,-0.44881,0.35404,-1.5708,0,0,base_link,1,0,0,0,0,-380,-30,,,,,,,,0
Extension_2,5.55111512312578E-17,0.144503291492238,0,0,0,0,0.166247779607694,0.00276885931618729,-6.1250615037163E-20,-2.78572458322839E-21,1.55123889803847E-05,-1.64950012345838E-19,0.00276885931618729,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Extension_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Extension_2.STL,,Extension Pole 2-1,,,E2,prismatic,0.38856,0,0,3.1416,-1.5708,0,Extension_1,0,1,0,0,0,-330,-300,,,,,,,,0
